icao24,origin_country,velocity,on_ground
e0b111,Argentina,219.07,False
ad68e9,United States,46.81,False
ad8b1d,United States,268.62,False
a3ee2f,United States,178.61,False
0d1163,Mexico,37.61,False
a11721,United States,218.42,False
885304,Thailand,247.73,False
a6f39f,United States,42.7,False
c06a8d,Canada,224.12,False
ab4b73,United States,199.53,False
ab5e9b,United States,186.59,False
8015e3,India,189.7,False
a2bb89,United States,82.51,False
8015e6,India,241.32,False
c81c9f,New Zealand,116.86,False
34324f,Spain,221.73,False
34324e,Spain,127.46,False
a52e50,United States,226.76,False
a64e2a,United States,196.76,False
8015db,India,211.55,False
aae2f1,United States,265.39,False
45ba47,Denmark,220.73,False
ad9e7a,United States,212.38,False
0180a6,Libyan Arab Jamahiriya,222.77,False
8015f7,India,275.23,False
ad9e73,United States,251.8,False
88530c,Thailand,199.93,False
873334,Japan,90.52,False
39348e,France,124.7,False
abae94,United States,30.39,False
a52e5b,United States,275.17,False
a27dac,United States,4.89,True
a952e0,United States,114.42,False
e48b64,Brazil,183.03,False
0d110e,Mexico,39.62,False
4bc856,Turkey,226.22,False
4bc855,Turkey,220.38,False
ae6353,United States,71.02,False
a99b5f,United States,235.78,False
aae37f,United States,110.22,False
a63b9d,United States,56.87,False
c06a76,Canada,206.72,False
4bc84e,Turkey,224.9,False
e48b4f,Brazil,88.63,False
4401e9,Austria,178.39,False
ad3027,United States,184.03,False
51108d,Estonia,39.95,False
4401e4,Austria,242.64,False
a1ada5,United States,97.84,False
4401d1,Austria,66.94,False
ad3042,United States,42.58,False
a15de9,United States,242.08,False
c06a4f,Canada,52.95,False
0d111a,Mexico,234.59,False
a0e431,United States,238.46,False
34454b,Spain,217.17,False
a1ada6,United States,82.37,False
0d1130,Mexico,177.84,False
adffef,United States,247.57,False
0d1132,Mexico,44.76,False
ac1058,United States,54.85,False
a35727,United States,165.44,False
a99b83,United States,259.08,False
a03dfa,United States,78.36,False
a4c701,United States,5.87,True
4401d8,Austria,35.44,False
a15db5,United States,287.2,False
aa92fc,United States,237.67,False
aa92fb,United States,210.41,False
0d112a,Mexico,194.96,False
0d112c,Mexico,129.54,False
a965f4,United States,29.4,False
0d112e,Mexico,236.8,False
e49e72,Brazil,33.71,False
c06a7a,Canada,74.27,False
a52da3,United States,33.07,False
0d1142,Mexico,87.48,False
70204a,Bangladesh,112.48,False
ad436a,United States,59.83,False
70204b,Bangladesh,266.19,False
0d1146,Mexico,247.02,False
a15db2,United States,89.8,False
ad4395,United States,272.89,False
adecf8,United States,139.87,False
ada683,United States,230.35,False
4bc847,Turkey,228.78,False
a965fb,United States,26.35,False
a5e704,United States,8.23,True
a35701,United States,246.86,False
a11754,United States,50.86,False
a0f735,United States,227.26,False
c06a82,Canada,225.74,False
4bc88a,Turkey,208.09,False
aa2b79,United States,245.81,False
a1f10d,United States,42.75,False
a3db93,United States,0.06,True
a21127,United States,234.37,False
a23783,United States,7.72,True
4787b3,Norway,237.8,False
ad438d,United States,9.26,True
4bb573,Turkey,231.21,False
a3db99,United States,165.18,False
abf079,United States,43.8,False
3946e5,France,214.68,False
a1f123,United States,57.8,False
ad3067,United States,211.23,False
a0e474,United States,53.08,False
a63b6f,United States,205.37,False
a952b3,United States,238.71,False
80171a,India,190.24,False
a63b75,United States,194.79,False
ab28d7,United States,244.07,False
a6f2b7,United States,4.37,True
ac108c,United States,63.53,False
ac7e15,United States,271.07,False
a5d2f9,United States,0.06,True
a712f9,United States,46.49,False
841b28,Japan,252.41,False
a35759,United States,184.58,False
